autor,titlu,text
Ana Blandiana,Fruntea mea,"Fruntea mea e o piatră
Peste care trec și se-ntorc
Valurile fluxului și ale refluxului,
O spală și o tocesc,
O sculptează,
O fac nisip,
Se scurg printre firele lui
Tot mai fine,
Tot mai fără chip,
La dus și la-ntors
Sub razele lunii
Coborâte în bernă
O piatră de mult dispărută
Și uitată de mult
Sub mișcarea insultei, eternă."
Ana Blandiana,Am crescut?,"Am crescut? Suntem oameni maturi?
Câte mii de nuanțe putrezesc o culoare...
Dragi și ridicole, departe sunt zilele
Când lumea o-mpărțeam în buni și răi.
Am devenit puternici scăldându-ne-n derută
Precum în apa Stixului Ahil,
Dar de călcâiul vulnerabil încă
Atârnă soarta universului întreg.
E totul grav. Și înțelegem totul.
De-acum va trece timpul neschimbat.
Ne dă de gol adolescenți doar lipsa
Înțeleptei spaime de moarte."
Ana Blandiana,Eclipsă,"Renunț la milă greu ca la un viciu,
Cu milă sunt drogată de copil.
Alb înstelat de ridicol plâng
Lângă fricos, lângă învins, lângă umil.
Îi plâng pe proști și proștii mă înving,
Surâzători sub steaua mea sterilă.
De gingășie tot mai mult mă-ntunec
Și pier de umanism și milă.
Înduioșate mâini întind să mângâi
Fiare gonind spre mine hămesite,
Și-mi pare rău că n-o să mai sărut
Și botul care mă ucide.
Nici n-am trăit spre-a nu jigni pe nimeni
Mi-au prins în țărnă rădăcini genunchii.
Și-mi trece viața încercând să-mi cresc
La capetele aripilor unghii."
Ana Blandiana,Lună plină,"Vino, lună, și ne desprinde din somn,
Aruncă-ți în apele noastre năvodul
Și trage-ne-afară,
Deșeartă-ne
În insomnia văzduhului!
S-ar putea să nu rezistăm,
De-atâta somn plămânii să fi trecut în branhii,
Dar,
Cu orice risc, trezește-ne
Și lasă-ne, liberi și singuri, pe mare:
Să înaintăm încet,
Cu infinită prudență,
Pe suprafața lichidă,
Pe arhitectura valurilor mereu în schimbare,
Pe orizontul ca o frânghie întinsă
Între două infernuri,
Cu ochii în ochiul tău înnebunit de speranță..."
Ana Blandiana,Dorința,"Să fie o dimineață copilăroasă și moale
Prin care, trecând, lumina să scoată
Foșnet de frunză uscată;
Să miroase-n odaie
A creioane ascuțite prelung
Și-a hârtie neîncepută;
Din gânduri, din dragoste
Sau numai din somn trezindu-mă
Bucuroasă, buimacă
Să trag pe mine o haină,
Să ies năucită în stradă
Cu picioarele goale-n pantofi
Și să întreb fericită:
Știți cumva în ce an suntem?"
Ana Blandiana,Vă mulțumesc,"Vă mulțumesc că mi l-ați lăsat,
Pietre în sufletul cărora cred,
Și ție, al cărui sens l-am pătruns
Îți sunt recunoscătoare, prăpăd.
Îți mulțumesc că nu mi l-ai luat,
Ochi galben din fruntea cerului mort,
Lună vorace a cărei privire
În ceafă și-acum o mai port.
Și vouă, cioburi scrâșnind de icoane,
Aureolă tăind și veșmânt ascuțit, îngeresc,
Pentru că nu mi l-ați acoperit de tot
Smerită vă mulțumesc.
Vă cer iertare că nu v-am iubit până-acum
Ziduri, și bârne, și stâlpi ai aceluiași vis,
Și râuri de lavă din burta bolnavă-a pământului,
Care nu l-ați ucis.
Ați fi putut să o faceți. Sfârșitul
Ironic al lumii vă dase-acest drept înmiit.
Pleoapele blânde cu gene de raze-ale stelelor
Nici n-ar fi clipit."
Ana Blandiana,Acolo sus,"Acolo sus pe munte casa
Apare și dispare dintre nori.
Cine-o îmbracă în atât de lașe scuturi
Și-o părăsește-atât de deseori?
Ochilor noștri cine-o lasă pradă
Și ochii noștri, cine pradă ei?
Stăm atârnați de jilava icoană
Ca lacrimile-n geana unor nesiguri zei.
Ne-o amintim din altă viață sau
E numai presimțire groaza?
Trăim însă, dacă trăim, ca să vedem
Acolo sus pe munte casa..."
Ana Blandiana,Cine dintre noi,"Când pleci,
Nu știu care dintre noi doi a plecat,
Când întind mâna
Nu știu dacă nu mă caut
Pe mine,
Când îți spun: te iubesc,
Nu știu dacă nu mie îmi spun
Și mi se face rușine.
Odinioară
Știam cum arăți,
Erai
Nespus de înalt și de subțire,
Știam de unde-ncepi
Și unde mă sfârșesc,
Îți găseam ușor
Buzele, gâtul,
Clavicula dulce,
Umărul copilăresc.
De mult, îmi amintesc,
Eram doi,
Țin minte cum ne țineam de mână...
Cine-a fost înfrânt dintre noi?
Cine-a putut să rămână?
Singurul trup este al tău
Sau al meu?
Și mi-e atât de dor
De cine?
Numai tăcând,
Cu ochii-nchiși, cu dinții strânși,
Mai pot să te distrug
Cu greu
În mine,
Și-atunci nu mai știu
Unde sunt eu..."
Ana Blandiana,41,"Număr penele verzi
Din aripa bradului.
Dacă îmi vor ieși
Mai puține de 41
El va avea dreptul să zboare.
Îmi ies chiar 41.
Da, e mai complicat,
Dar oricum de mine depinde
Să-i acord dreptul în continuare.
- Zbori, îi spun.
- Ești o proastă, îmi răspunde bradul.
- Nu, sunt o luptătoare pentru drepturile bradului,
Zbori!
- O, murmură el, se vede
Că n-ai încercat niciodată
Să-ți încleștezi rădăcinile-n nori.
- Nu. De altfel, am greșit numărătoarea:
Îți crește și următoarea."
Ana Blandiana,Exil,"Pornesc în mine în exil.
Tu ești patria mea
De care nu mai pot să mă apropii,
Tu ești țara în care m-am născut
Și am învățat să vorbesc,
Numai pe tine te cunosc în lume.
Prin ochii tăi am înotat de-atâtea ori
Ieșind pe mal cu trupul tot albastru.
De-atâtea ori am navigat prin tine
Pândind bolborositul prevestitor de hulă
Al sângelui în stare să mă înece-oricând.
Tu ești partea mea de pământ,
Numai din tine știu să mă înalț.
Stăpâne tu, împădurit
Și semănat cu lacuri,
Ținut pe care-l stăpâneam cândva
Și-n care nu mai pot să mă întorc
Din mine, din străinătatea mea
Lasă-mă noaptea să mă mai visezi,
Să-ți trec prin somn legănător,
Lasă-te locuit de mine noaptea,
Ca genii morți, de gândurile lor."
