autor,titlu,text
Tudor Arghezi,1943,"Pe cînd dormeați un somn zăcut de ani,
Un om a prăvălit o stîncă,
Namiaza mare-n gloata de dușmani,
De vuietul se mai aude încă.

Pribeag și-apoi și călător în noapte,
Nu strigă, nu se bate-n piept, nu cere.
Dar voi, flămînzi de slavă fără fapte,
Isprava lui știută o treceți sub tăcere."
Tudor Arghezi,84,"Cu opaiț și cu lună,
Ne-am scris nopțile-mpreună.
Și la rău, ca și la bine,
Nu prea m-am uitat la mine,
Ascultînd numai povața :
Omul să-și muncească viața.
Mi-am muncit-o - și atît -
Ca să-mi treacă de urît."
Tudor Arghezi,Abece,"A vrut Dumnezeu să scrie
Și nici nu era hârtie.
N-avea niciun fel de scule
Și nici litere destule.
C-un crâmpei de alfabet
Mergea scrisul foarte-ncet.

N-aș vrea nici atât să-l supăr
Cât piperul de ienupăr,
Dar o să vă spui ceva:
Nici carte nu prea știa.
Orișice învățăcel
Știe mult mai mult ca el.
El, care făcuse toate,
Nu avea certificate.
Câtu-i Dumnezeu de mare,
N-are trei clase primare.
La citit se-mpiedica,
Nu știe-aritmetica.

Știe-atât: numai să facă.
Ia oleacă, pune-oleacă.
Face oameni și lumină
Din puțin scuipat cu tină
Și dintr-un aluat mai lung
Scoate luna ca din strung.

Papagalul și păuna
Și-au smuls pana, câte una,
Ca să-i facă pensulă
Domnului din insulă,
Coliba de pe pământ
A Celui Înalt și Sfânt
Fiind clădită de pești meșteri
Între talaze și peșteri.
El a luat mai bine-o pană
De la țarca năzdrăvană
Și-ascuțindu-și-o-ntre dește,
Despicând-o scolărește,
Și-a făcut condei în stare
A scrie și pe piatră tare.

A-ntins cerul ca o coală
În toata Tăria goală.
Insă pana nu scria.
A luat atunci o nuia
Și a însemnat cu ea,
Cu argint, stea lângă stea.
Și ca să vadă pe schele,
A făcut și cruci de stele.

Ce-a scris noaptea s-a zvântat,
Apoi, pân' la scăpătat,
Cu sugătoare de soare -
Și ziua, și pe-nserare -
A citit și tot a șters,
Câte-o vorbă, câte-un vers,
Și câte o dată, fată,
Toata foaia, cartea toată,
Fiincă Dumnezeu ce-a vrut
P-ormă nu i-a mai plăcut.
Că din scrisele prea drese
Nici lucru prea bun nu iese.

Cât a scris el cerul tot,
Să spui drept, a ști nu pot.
Învățați cu cărțulie
Cred c-aproape-o veșnicie.
Pe cât mintea îl ajută
Melcul crede că o sută
De vecii întregi și pline.
Melcul știe, cred, mai bine.
Însă cerul, în sfârșit,
E de-atuncea tipărit."
Tudor Arghezi,Adam și eva,"Urîndu-i-se singur în stihii,
A vrut și Dumnezeu să aibă-n cer copii
Și s-a gîndit din ce să-i facă,
Din borangic,argint sau promoroacă,
Frumoși, cinstiți, nevinovați,
Și puse-așezămîntul dintre frați.

Dar i-a ieșit cam somnoros și cam
Trîndav și nărăvaș strămoșul meu Adam ;
Că l-a făcut, cum am aflat,
Cu praf și nițeluș scuipat ;
Ca să încerce dacă un altoi
De stea putea să prindă pe noroi,
Că, de urît, scuipind în patru zări, stingher
Făcuse și luminile din cer.

Dar iată că l-a nimerit,
Din pricina aluatului, greșit,
Și că Adam, întîiul fiu
Al Domnului, ieșise, parcă, și zbanghiu.
Nu-i vorba, nici-o poză nu ne-nvață
Cum ar fi fost omul dintîi la față.
Nici unda lacului nu l-a păstrat,
În care se-oglindea la scăpătat.

Puterea lui dumnezeiască,
Dormind mereu, căta să-l mai trezească ;
I-a rupt un os din coaste, ceva,
Și-a zămislit-o și pe Eva.

Mai poți căsca de lene, iarăș,
Cînd ai o soră și-un tovarăș ?
S-au luat de mîini și au cutreierat
Grădina toată-n lung și lat.

Să nu te miri că, șovăind și mici,
Li se julea și nasul prin urzici."
Tudor Arghezi,Alba,"De ce te uiți așa, când seara vine,
În ochii mei cu ochii tăi de salbă,
Că nu-ți mai iei privirea de la mine,
Gingașă, grațioasă mâță albă?

Nu te-ai uitat așa fel niciodată
Și frumusețea ta nu m-a privit
Așa de-adânc, bătu-te-ar să te bată,
Nici când fusesem mort și răstignit.

Mă plec și te scrutez cu un fior,
Ca-ntr-o lumină de fântână.
Parc-ai trecut tiptil, călcând ușor,
Torcând încet, pe lângă lună.

Ți-e gura roză-nchisă ca un plic
Al nimănui, lipit și cetluit.
Deasupra cine nu a scris nimic?
Și înăuntru, cui i s-a povestit?

Tu știi ceva ce limba ta nu-l știe
Și să-l rostească nu e cu putință.
Știința mută ți-a fost dată ție,
Și mie graiul cel fără știință."
Tudor Arghezi,April,"Într-o ramură-nflorită
E-agățat un cuib în tei.
Ramura e legănată,
Legănîndu-și cuibul ei.
Vîntul murmură prin floare,
Adormind-o cu descîntul,
Pasărea surîde-n aripi,
Cunoscînd că-i numai vîntul.

Mi-a zburat de mult din floarea
Sufletului pasărea,
Aripi ca-ntre fulgi cicoarea,
Verde-n piept ca zarzărea.

O tot caut de atunci
Prin pădure, prin copaci.

Pasăre cu aripi lungi,
Unde ești și ce mai faci ?"
Tudor Arghezi,Bine și rău,"Între nadejde trista si-ndoiala,
Te-am cautat prin bolta siderala.
Te-am cautat pe unde si neunde
Îti banuiam faptura ca se-ascunde.
Te cautam în tainica ta lipsa
Prin Testamente si Apocalipsa.
Sa fi ramas un loc nemaiumblat
Pe unde nu te-am cautat?
Cînd socoteam ca te-am gasit,
Se si-nalta în dreptul tau un zid.
Simtindu-te zvîcnind în radacini
Te mai simteam în spice si-n tulpini.
Te-am si cîntat pe corzi, si noi si sparte,
Si peste vieti si peste moarte.
Tu ramîneai mereu departe.
Auzul tau nu vrea s-auda
Cîntec de nai, de cobza si-alauta?
Într-o-nserare, în sfîrsit,
Mi se paruse ca te-as fi zarit
În mantia de aur a unui asfintit,
Prinzîndu-ti-o, tîrîta prin tarîna.
Mi-a si ramas un ciucure în mîna
Si l-am vîrît în sîn, ca un pribeag
Un bun de furtisag.
Da-mi voie, negasita aratare,
Sa-ti pui acum o veche întrebare:
Ca ai facut atîtea frumuseti blajine,
Fara-ndoiala, multumescu-ti bine,
Cladiri de piscuri, cuiburi de izvoare,
Timpuri si valuri calatoare
Si oamenii în sarbatoare;
Barbati viteji, domnite la harpa si la furca.
Mutînd pe strune mîna, fuiorul cînd se-ncurca.

Dar, mare-aprinzatorule de stele,
Cum de-ai facut si-atîtea lucruri rele?"
Tudor Arghezi,Binecuvîntare,"Dormiți, dormiți !
Hipnoza nopții suflă boare
În mușchii voștri veștejiți
Și mîine veți avea izvoare
Din spor, pămîntul să-l stropiți
Cu bale călătoare.

Dormiți, dormiți,
Căci legea o citește cariul
cînd voi sînteți încremeniți
Și-n țeasta voastră-și zvîrlă zarul
Satan, cu ochii buimăciți,
Noroc ! Fiți fericiți !

Dormiți, dormiți,
În monarhia minerală,
Cu-obrajii, sterpi și gălbejiți,
Lipsiți de carnea triumfală,
Cu care, morți, vă-nsuflețiți
O zi și-o viață goală.

Cei umiliți în trudă și-n răbdare,
Pribegii, robii și sihaștrii,
Bătuți de-a lunii vînătă dogoare,
Așteaptă stolul șoimilor albaștri.
Judecători, stăpîni și-ndreptățiți,
Voi sunteți beți. Dormiți, dormiți !

Și însumi bine-vă cuvînt.
Căci e nevoie de pămînt
Să vă-nmulțiți,
Să ne-apăsați și să ne-nlănțuiți,
Și veacuri oarbe să clădiți,
Dormiți, dormiți !"
Tudor Arghezi,Cale frîntă,"De cînd m-alese viața drept martor și drept sol,
Prinzîndu-și o scînteie de insul meu de fum,
Și-a hotărît din vatra tăcerii să mă scol,
Mi-a tras cu tibișirul prin rîpi și stînci un drum.

M-am încrezut într-însa supus ca de-o menire,
Dar viscolui și vîntul drumeacul mi l-a șters,
Și m-am simțit mai singur, străin în omenire,
Cu o catapeteasmă, în drum, de univers.

Uitat între pămînturi și ceruri, în strîmtoare,
Nu mai știam cunoaște nici calea nici solia
Și-am doborît cu pumnii și umerii stihia.

Căci căutînd odihnă și duhului repaos,
Intram prin constelații și negură în haos."
Tudor Arghezi,Cameleoana,"Sufletul tău e-un amazon
Ce-și pune pălării cu fulgi de struț,
Cizme de lac, mânușă, pantalon
Și-ncalecă pe-o cumpănă de puț.

Sufletul tău e-o mâță aurie
Ce se mândrește-n mers ca o panteră
Ca să vâneze șoareci de hârtie
Și zugrăviți, viței de dromaderă...

Sufletul tău e-un astru în exil
Și ca să dea o veșnică lumină
Are nevoie, zilnic, de fitil
Și de alcool, petroliu sau benzină.

Sufletul tău e un florinte
Ce sare prin copaci cu bucurie
Și vrând să caute nu-și aduce aminte
Cum își începe vechea melodie.

Sufletul tău e-un iepure rănit
Întors acasă noaptea din cărare
Se crede om și caută uimit
Lipsa cheilor din buzunare.

Sufletul tău e o madonă
Care lăptează rumen, plin, la țâțe
Un Christ strein de Biblia slavonă
Cu mâini de ghips, cu carne de tărâțe.

Sufletul tău e-un parc cu o intrare
Unde mereu se-ascunseră sub brazi
Îndrăgostiții toți și-n care
Se mai preumblă-mbrățișați și azi."
