autor,titlu,strofa,text
Ana Blandiana,41,1,"Număr penele verzi
Din aripa bradului.
Dacă îmi vor ieși
Mai puține de 41
El va avea dreptul să zboare."
Ana Blandiana,41,2,"Îmi ies chiar 41.
Da, e mai complicat,
Dar oricum de mine depinde
Să-i acord dreptul în continuare."
Ana Blandiana,41,3,"- Zbori, îi spun.
- Ești o proastă, îmi răspunde bradul.
- Nu, sunt o luptătoare pentru drepturile bradului,
Zbori!
- O, murmură el, se vede
Că n-ai încercat niciodată
Să-ți încleștezi rădăcinile-n nori."
Ana Blandiana,A lovi,1,"Nu îmi e frică,
Dar nu știu: cum
Se ridică
Glasul, brațul cum
Se întinde să lovească?
Și când strâng pumnul
Trebuie să strâng
Și aripa-ngerească?
Și ca să scuip în obraz
Trebuie să adun
Salivă și ură
În loc de silabe"
Ana Blandiana,A lovi,2,"Și trebuie să-l împroșc
Pe cel mai de-aproape?
Aripa îmi sângeră
Și se despică
Între răzbunare
Și alibi:
Nu mi-e frică,
Dar mi
Se pare
Mai mare
Umilința de a lovi."
Ana Blandiana,Abia începusem să simt,1,"Abia începusem să simt
Că undeva-n rarul văzduh
Zăpada se va opri deodată,
Abia începusem să știu
Că nu mai poți să te ascunzi
De ochii mei avizi să vadă,
Abia zăream cum se depune
O linie limpede pe creștet,
Tremurătoare-n păr și moale
Pe genele-ți clipite-abia."
Ana Blandiana,Abia începusem să simt,2,"Abia-ndrăzneam să cred că ai tăi sunt
Umerii desenați în aer
Cu fără de sfârșit zăpadă
Și-a tale-aripile trădate
De nemaicontenita nea."
Ana Blandiana,Abia începusem să simt,3,"Aș fi putut să te ating
Dar mi-era teamă să nu scutur
De pe făptura-ți nevăzută
Conturul nesperat de clar,
Aș fi putut să te învăț
Pe dinafară pentru clipa
Când, întețindu-se ninsoarea,
Vei dispărea cu spaimă iar..."
Ana Blandiana,Acasă,1,"Era un timp când mă simțeam
În trupul meu acasă,
Știam locul fiecărui lucru -
Fereastra în care răsare soarele
Și peretele dinspre nord,
Nu-mi era niciodată urât,
Îmi găseam de dimineața
Până seara de lucru,
Iar dacă plecam undeva
Abia așteptam să mă-ntorc."
Ana Blandiana,Acasă,2,"Acum de-atâta ordine mi-e silă
Și de știutulpederost mi-e somn,
Nu mai țin minte când am fost adusă
În încăperea prea frumoasă pentru mine."
Ana Blandiana,Acasă,3,"Căutam pe cineva și i-am rămas în loc?
Sau poate-a fost o cursă
În care-s prinsă încă?
Aștept de mult și am uitat pe cine..."
Ana Blandiana,Acolo sus,1,"Acolo sus pe munte casa
Apare și dispare dintre nori.
Cine-o îmbracă în atât de lașe scuturi
Și-o părăsește-atât de deseori?
Ochilor noștri cine-o lasă pradă
Și ochii noștri, cine pradă ei?
Stăm atârnați de jilava icoană
Ca lacrimile-n geana unor nesiguri zei."
Ana Blandiana,Acolo sus,2,"Ne-o amintim din altă viață sau
E numai presimțire groaza?
Trăim însă, dacă trăim, ca să vedem
Acolo sus pe munte casa..."
Ana Blandiana,Acoperită de rouă,1,"Acoperită de rouă,
Țară a frunzelor fragede,
Câte milenii încă
Nu vei obosi să te naști?
Leagăn de nenorocire
Atât de frumos încât nimeni
Nu are timp să renunțe
La verdele tău cimitir,
Țărână bogată în sare
Depusă din lacrimi pe care
Albii de râuri le duc
Și le umplu cu pești,"
Ana Blandiana,Acoperită de rouă,2,"Și plânsul îți e roditor,
Mamă fără odihnă
Și negândită, crescând
Mieii în oi spre jertfire,
Din morți extrăgând ierburi vii
Și din suferință iubire."
Ana Blandiana,Acoperită de rouă,3,"Pace și liniște ție,
Dăruitoare nebună,
Sub cerul de sânge uitat
Și vânăt de frig, noapte bună."
Ana Blandiana,Am crescut?,1,"Am crescut? Suntem oameni maturi?
Câte mii de nuanțe putrezesc o culoare...
Dragi și ridicole, departe sunt zilele
Când lumea o-mpărțeam în buni și răi."
Ana Blandiana,Am crescut?,2,"Am devenit puternici scăldându-ne-n derută
Precum în apa Stixului Ahil,
Dar de călcâiul vulnerabil încă
Atârnă soarta universului întreg."
