autor,titlu,strofa,text
Mihai Eminescu,Singurătate,1,"Cu perdelele lăsate,
Șed la masa mea de brad,
Focul pâlpâie în sobă,
Iară eu pe gânduri cad."
Mihai Eminescu,Singurătate,2,"Stoluri, stoluri trec prin minte
Dulci iluzii. Amintiri
Țârâiesc încet ca greeri
Pintre negre, vechi zidiri."
Mihai Eminescu,Singurătate,3,"Sau cad grele, mângâioase
Și se sfarmă-n suflet trist,
Cum în picuri cade ceara
La picioarele lui Crist."
Mihai Eminescu,Singurătate,4,"În odaie prin unghere
S-a țesut păinjeniș
Și prin cărțile în vravuri
Umblă șoarecii furiș."
Mihai Eminescu,Singurătate,5,"În această dulce pace
Îmi ridic privirea-n pod
Și ascult cum învelișul
De la cărți ei mi le rod."
Mihai Eminescu,Singurătate,6,"Ah! de câte ori voit-am
Ca să spânzur lira-n cui
Și un capăt poeziei
Și pustiului să pui!"
Mihai Eminescu,Singurătate,7,"Dar atuncea, greeri, șoareci,
Cu ușor-măruntul mers,
Readuc melancolia-mi,
Iară ea se face vers."
Mihai Eminescu,Singurătate,8,"Câteodată... prea arare...
A târziu când arde lampa,
Inima din loc îmi sare
Când aud că sună cleampa..."
Mihai Eminescu,Singurătate,9,"Este Ea. Deșarta casă
Dintr-o dată-mi pare plină,
În privazul negru-al vieții-mi
E-o icoană de lumină."
Mihai Eminescu,Singurătate,10,"Și mi-i ciudă cum de vremea
Să mai treacă se îndură,
Când eu stau șoptind cu draga
Mână-n mână, gură-n gură."
Mihai Eminescu,Lasă-ți lumea ta uitată,1,"Lasă-ți lumea ta uitată,
Mi te dă cu totul mie,
De ți-ai da viața toată,
Nime-n lume nu ne știe."
Mihai Eminescu,Lasă-ți lumea ta uitată,2,"Vin' cu mine, rătăcește
Pe cărări cu cotituri,
Unde noaptea se trezește
Glasul vechilor păduri."
Mihai Eminescu,Lasă-ți lumea ta uitată,3,"Printre crengi scânteie stele,
Farmec dând cărării strâmte,
Și afară doar de ele
Nime-n lume nu ne simte."
Mihai Eminescu,Lasă-ți lumea ta uitată,4,"Părul tău ți se desprinde
Și frumos ți se mai șede,
Nu zi ba de te-oi cuprinde,
Nime-n lume nu ne vede."
Mihai Eminescu,Lasă-ți lumea ta uitată,5,"Tânguiosul bucium sună,
L-ascultăm cu-atâta drag,
Pe când iese dulcea lună
Dintr-o rariște de fag."
Mihai Eminescu,Lasă-ți lumea ta uitată,6,"Îi răspunde codrul verde
Fermecat și dureros,
Iară sufletu-mi se pierde
După chipul tău frumos."
Mihai Eminescu,Lasă-ți lumea ta uitată,7,"Te desfaci c-o dulce silă,
Mai nu vrei și mai te lași,
Ochii tăi sunt plini de milă,
Chip de înger drăgălaș."
Mihai Eminescu,Lasă-ți lumea ta uitată,8,"Iată lacul. Luna plină,
Poleindu-l, îl străbate;
El, aprins de-a ei lumină,
Simte-a lui singurătate."
Mihai Eminescu,Lasă-ți lumea ta uitată,9,"Tremurând cu unde-n spume,
Între trestie le farmă
Și visând o-ntreagă lume
Tot nu poate să adoarmă."
Mihai Eminescu,Lasă-ți lumea ta uitată,10,"De-al tău chip el se pătrunde
Ca oglinda îl alege -
Ce privești zâmbind în unde?
Ești frumoasă, se-nțelege."
Mihai Eminescu,Lasă-ți lumea ta uitată,11,"Înălțimile albastre
Pleacă zarea lor pe dealuri,
Arătând privirii noastre
Stele-n ceruri, stele-n valuri."
Mihai Eminescu,Lasă-ți lumea ta uitată,12,"E-un miros de tei în crânguri,
Dulce-i umbra de răchiți,
Și suntem atât de singuri
Și atât de fericiți!"
Mihai Eminescu,Lasă-ți lumea ta uitată,13,"Numai luna printre ceață
Varsă apelor văpaie,
Și te află strânsă-n brațe,
Dulce dragoste bălaie."
Mihai Eminescu,Și dacă...,1,"Și dacă ramuri bat în geam
Și se cutremur plopii,
E ca în minte să te am
Și-ncet să te apropii."
Mihai Eminescu,Și dacă...,2,"Și dacă stele bat în lac
Adâncu-i luminându-l,
E ca durerea mea s-o-mpac
Înseninându-mi gândul."
Mihai Eminescu,Și dacă...,3,"Și dacă norii deși se duc
De iese-n luciu luna,
E ca aminte să-mi aduc
De tine-ntotdeauna."
Mihai Eminescu,Pajul cupidon...,1,"Pajul Cupidon, vicleanul,
Mult e rău și alintat,
Cu copii se hârjonește,
Iar la dame doarme-n pat."
Mihai Eminescu,Pajul cupidon...,2,"De lumină ca tâlharii
Se ferește binișor,
Pe ferești se suie noaptea
Dibuind încetișor."
Mihai Eminescu,Pajul cupidon...,3,"Cordeluțe și nimicuri,
Iată toate-a lui averi...
Darnic când nu vrei nici una
Și zgârcit dacă le ceri."
Mihai Eminescu,Pajul cupidon...,4,"În volumul ros de molii
Cauți noaptea adevăr
Și-ntâlnești lipită-n file
Vița-i galbănă de păr."
Mihai Eminescu,Pajul cupidon...,5,"El dă gânduri nențelese
Vrâstei crude și necoapte,
Cu icoane luminoase
O îngână-ntreaga noapte."
Mihai Eminescu,Pajul cupidon...,6,"Când de-o sete sufletească
E cuprinsă fata mică -
A dormit cu ea alături
Ca doi pui de turturică."
Mihai Eminescu,Pajul cupidon...,7,"E sfios ca și copiii,
Dar zâmbirea-i e vicleană;
Dară galeși îi sunt ochii
Ca și ochii de vădană."
Mihai Eminescu,Pajul cupidon...,8,"Gât și umere frumoase,
Sânuri albe și rotunde
El le ține-mbrățișate
Și cu mânile le-ascunde."
Mihai Eminescu,Pajul cupidon...,9,"De te rogi frumos de dânsul,
Îndestul e de hain
Vălul alb de peste toate
Să-l înlăture puțin."
Mihai Eminescu,Ce te legeni...,1,"- ""Ce te legeni, codrule,
Fără ploaie, fără vânt,
Cu crengile la pământ?""
- ""De ce nu m-aș legăna,
Dacă trece vremea mea!"
Mihai Eminescu,Ce te legeni...,2,"Ziua scade, noaptea crește
Și frunzișul mi-l rărește.
Bate vântul frunza-n dungă -
Cântăreții mi-i alungă;
Bate vântul dintr-o parte."
Mihai Eminescu,Ce te legeni...,3,"Iarna-i ici, vara-i departe.
Și de ce să nu mă plec,
Dacă păsările trec!
Peste vârf de rămurele
Trec în stoluri rândunele."
Mihai Eminescu,Ce te legeni...,4,"Ducând gândurile mele
Și norocul meu cu ele.
Și se duc pe rând pe rând,
Zarea lumii-ntunecând,
Și se duc ca clipele."
Mihai Eminescu,Ce te legeni...,5,"Scuturând aripele,
Și mă lasă pustiit,
Vestejit și amorțit
Și cu doru-mi singurel,
De mă-ngân numai cu el."
Mihai Eminescu,Melancolie,1,"Părea că printre nouri s-a fost deschis o poartă,
Prin care trece albă regina nopții moartă. -
O, dormi, o, dormi în pace printre făclii o mie
Și în mormânt albastru și-n pânze argintie,
În mausoleu-ți mândru, al cerurilor arc,
Tu adorat și dulce al nopților monarc!
Bogată în întinderi stă lumea-n promoroacă,
Ce sate și câmpie c-un luciu văl îmbracă;
Văzduhul scânteiază și ca unse cu var
Lucesc zidiri, ruine pe câmpul solitar.
Și țintirimul singur cu strâmbe cruci veghează,
O cucuvaie sură pe una se așează."
