autor,titlu,strofa,text,nr_versuri
Tudor Arghezi,1943,1,"Pe cînd dormeați un somn zăcut de ani,
Un om a prăvălit o stîncă,
Namiaza mare-n gloata de dușmani,
De vuietul se mai aude încă.",4
Tudor Arghezi,1943,2,"Pribeag și-apoi și călător în noapte,
Nu strigă, nu se bate-n piept, nu cere.
Dar voi, flămînzi de slavă fără fapte,
Isprava lui știută o treceți sub tăcere.",4
Tudor Arghezi,84,1,"Cu opaiț și cu lună,
Ne-am scris nopțile-mpreună.
Și la rău, ca și la bine,
Nu prea m-am uitat la mine,
Ascultînd numai povața :
Omul să-și muncească viața.
Mi-am muncit-o - și atît -
Ca să-mi treacă de urît.",8
Tudor Arghezi,Abece,1,"A vrut Dumnezeu să scrie
Și nici nu era hârtie.
N-avea niciun fel de scule
Și nici litere destule.
C-un crâmpei de alfabet
Mergea scrisul foarte-ncet.",6
Tudor Arghezi,Abece,2,"N-aș vrea nici atât să-l supăr
Cât piperul de ienupăr,
Dar o să vă spui ceva:
Nici carte nu prea știa.
Orișice învățăcel
Știe mult mai mult ca el.
El, care făcuse toate,
Nu avea certificate.
Câtu-i Dumnezeu de mare,
N-are trei clase primare.
La citit se-mpiedica,
Nu știe-aritmetica.",12
Tudor Arghezi,Abece,3,"Știe-atât: numai să facă.
Ia oleacă, pune-oleacă.
Face oameni și lumină
Din puțin scuipat cu tină
Și dintr-un aluat mai lung
Scoate luna ca din strung.",6
Tudor Arghezi,Abece,4,"Papagalul și păuna
Și-au smuls pana, câte una,
Ca să-i facă pensulă
Domnului din insulă,
Coliba de pe pământ
A Celui Înalt și Sfânt
Fiind clădită de pești meșteri
Între talaze și peșteri.
El a luat mai bine-o pană
De la țarca năzdrăvană
Și-ascuțindu-și-o-ntre dește,
Despicând-o scolărește,
Și-a făcut condei în stare
A scrie și pe piatră tare.",14
Tudor Arghezi,Abece,5,"A-ntins cerul ca o coală
În toata Tăria goală.
Insă pana nu scria.
A luat atunci o nuia
Și a însemnat cu ea,
Cu argint, stea lângă stea.
Și ca să vadă pe schele,
A făcut și cruci de stele.",8
Tudor Arghezi,Abece,6,"Ce-a scris noaptea s-a zvântat,
Apoi, pân' la scăpătat,
Cu sugătoare de soare -
Și ziua, și pe-nserare -
A citit și tot a șters,
Câte-o vorbă, câte-un vers,
Și câte o dată, fată,
Toata foaia, cartea toată,
Fiincă Dumnezeu ce-a vrut
P-ormă nu i-a mai plăcut.
Că din scrisele prea drese
Nici lucru prea bun nu iese.",12
Tudor Arghezi,Abece,7,"Cât a scris el cerul tot,
Să spui drept, a ști nu pot.
Învățați cu cărțulie
Cred c-aproape-o veșnicie.
Pe cât mintea îl ajută
Melcul crede că o sută
De vecii întregi și pline.
Melcul știe, cred, mai bine.
Însă cerul, în sfârșit,
E de-atuncea tipărit.",10
Tudor Arghezi,Adam și eva,1,"Urîndu-i-se singur în stihii,
A vrut și Dumnezeu să aibă-n cer copii
Și s-a gîndit din ce să-i facă,
Din borangic,argint sau promoroacă,
Frumoși, cinstiți, nevinovați,
Și puse-așezămîntul dintre frați.",6
Tudor Arghezi,Adam și eva,2,"Dar i-a ieșit cam somnoros și cam
Trîndav și nărăvaș strămoșul meu Adam ;
Că l-a făcut, cum am aflat,
Cu praf și nițeluș scuipat ;
Ca să încerce dacă un altoi
De stea putea să prindă pe noroi,
Că, de urît, scuipind în patru zări, stingher
Făcuse și luminile din cer.",8
Tudor Arghezi,Adam și eva,3,"Dar iată că l-a nimerit,
Din pricina aluatului, greșit,
Și că Adam, întîiul fiu
Al Domnului, ieșise, parcă, și zbanghiu.
Nu-i vorba, nici-o poză nu ne-nvață
Cum ar fi fost omul dintîi la față.
Nici unda lacului nu l-a păstrat,
În care se-oglindea la scăpătat.",8
Tudor Arghezi,Adam și eva,4,"Puterea lui dumnezeiască,
Dormind mereu, căta să-l mai trezească ;
I-a rupt un os din coaste, ceva,
Și-a zămislit-o și pe Eva.",4
Tudor Arghezi,Adam și eva,5,"Mai poți căsca de lene, iarăș,
Cînd ai o soră și-un tovarăș ?
S-au luat de mîini și au cutreierat
Grădina toată-n lung și lat.",4
Tudor Arghezi,Adam și eva,6,"Să nu te miri că, șovăind și mici,
Li se julea și nasul prin urzici.",2
Tudor Arghezi,Alba,1,"De ce te uiți așa, când seara vine,
În ochii mei cu ochii tăi de salbă,
Că nu-ți mai iei privirea de la mine,
Gingașă, grațioasă mâță albă?",4
Tudor Arghezi,Alba,2,"Nu te-ai uitat așa fel niciodată
Și frumusețea ta nu m-a privit
Așa de-adânc, bătu-te-ar să te bată,
Nici când fusesem mort și răstignit.",4
Tudor Arghezi,Alba,3,"Mă plec și te scrutez cu un fior,
Ca-ntr-o lumină de fântână.
Parc-ai trecut tiptil, călcând ușor,
Torcând încet, pe lângă lună.",4
Tudor Arghezi,Alba,4,"Ți-e gura roză-nchisă ca un plic
Al nimănui, lipit și cetluit.
Deasupra cine nu a scris nimic?
Și înăuntru, cui i s-a povestit?",4
Tudor Arghezi,Alba,5,"Tu știi ceva ce limba ta nu-l știe
Și să-l rostească nu e cu putință.
Știința mută ți-a fost dată ție,
Și mie graiul cel fără știință.",4
Tudor Arghezi,April,1,"Într-o ramură-nflorită
E-agățat un cuib în tei.
Ramura e legănată,
Legănîndu-și cuibul ei.
Vîntul murmură prin floare,
Adormind-o cu descîntul,
Pasărea surîde-n aripi,
Cunoscînd că-i numai vîntul.",8
Tudor Arghezi,April,2,"Mi-a zburat de mult din floarea
Sufletului pasărea,
Aripi ca-ntre fulgi cicoarea,
Verde-n piept ca zarzărea.",4
Tudor Arghezi,April,3,"O tot caut de atunci
Prin pădure, prin copaci.",2
Tudor Arghezi,April,4,"Pasăre cu aripi lungi,
Unde ești și ce mai faci ?",2
Tudor Arghezi,Bine și rău,1,"Între nadejde trista si-ndoiala,
Te-am cautat prin bolta siderala.
Te-am cautat pe unde si neunde
Îti banuiam faptura ca se-ascunde.
Te cautam în tainica ta lipsa
Prin Testamente si Apocalipsa.
Sa fi ramas un loc nemaiumblat
Pe unde nu te-am cautat?
Cînd socoteam ca te-am gasit,
Se si-nalta în dreptul tau un zid.
Simtindu-te zvîcnind în radacini
Te mai simteam în spice si-n tulpini.
Te-am si cîntat pe corzi, si noi si sparte,
Si peste vieti si peste moarte.
Tu ramîneai mereu departe.
Auzul tau nu vrea s-auda
Cîntec de nai, de cobza si-alauta?
Într-o-nserare, în sfîrsit,
Mi se paruse ca te-as fi zarit
În mantia de aur a unui asfintit,
Prinzîndu-ti-o, tîrîta prin tarîna.
Mi-a si ramas un ciucure în mîna
Si l-am vîrît în sîn, ca un pribeag
Un bun de furtisag.
Da-mi voie, negasita aratare,
Sa-ti pui acum o veche întrebare:
Ca ai facut atîtea frumuseti blajine,
Fara-ndoiala, multumescu-ti bine,
Cladiri de piscuri, cuiburi de izvoare,
Timpuri si valuri calatoare
Si oamenii în sarbatoare;
Barbati viteji, domnite la harpa si la furca.
Mutînd pe strune mîna, fuiorul cînd se-ncurca.",33
Tudor Arghezi,Bine și rău,2,"Dar, mare-aprinzatorule de stele,
Cum de-ai facut si-atîtea lucruri rele?",2
Tudor Arghezi,Binecuvîntare,1,"Dormiți, dormiți !
Hipnoza nopții suflă boare
În mușchii voștri veștejiți
Și mîine veți avea izvoare
Din spor, pămîntul să-l stropiți
Cu bale călătoare.",6
Tudor Arghezi,Binecuvîntare,2,"Dormiți, dormiți,
Căci legea o citește cariul
cînd voi sînteți încremeniți
Și-n țeasta voastră-și zvîrlă zarul
Satan, cu ochii buimăciți,
Noroc ! Fiți fericiți !",6
Tudor Arghezi,Binecuvîntare,3,"Dormiți, dormiți,
În monarhia minerală,
Cu-obrajii, sterpi și gălbejiți,
Lipsiți de carnea triumfală,
Cu care, morți, vă-nsuflețiți
O zi și-o viață goală.",6
Tudor Arghezi,Binecuvîntare,4,"Cei umiliți în trudă și-n răbdare,
Pribegii, robii și sihaștrii,
Bătuți de-a lunii vînătă dogoare,
Așteaptă stolul șoimilor albaștri.
Judecători, stăpîni și-ndreptățiți,
Voi sunteți beți. Dormiți, dormiți !",6
Tudor Arghezi,Binecuvîntare,5,"Și însumi bine-vă cuvînt.
Căci e nevoie de pămînt
Să vă-nmulțiți,
Să ne-apăsați și să ne-nlănțuiți,
Și veacuri oarbe să clădiți,
Dormiți, dormiți !",6
Tudor Arghezi,Cale frîntă,1,"De cînd m-alese viața drept martor și drept sol,
Prinzîndu-și o scînteie de insul meu de fum,
Și-a hotărît din vatra tăcerii să mă scol,
Mi-a tras cu tibișirul prin rîpi și stînci un drum.",4
Tudor Arghezi,Cale frîntă,2,"M-am încrezut într-însa supus ca de-o menire,
Dar viscolui și vîntul drumeacul mi l-a șters,
Și m-am simțit mai singur, străin în omenire,
Cu o catapeteasmă, în drum, de univers.",4
Tudor Arghezi,Cale frîntă,3,"Uitat între pămînturi și ceruri, în strîmtoare,
Nu mai știam cunoaște nici calea nici solia
Și-am doborît cu pumnii și umerii stihia.",3
Tudor Arghezi,Cale frîntă,4,"Căci căutînd odihnă și duhului repaos,
Intram prin constelații și negură în haos.",2
Tudor Arghezi,Cameleoana,1,"Sufletul tău e-un amazon
Ce-și pune pălării cu fulgi de struț,
Cizme de lac, mânușă, pantalon
Și-ncalecă pe-o cumpănă de puț.",4
Tudor Arghezi,Cameleoana,2,"Sufletul tău e-o mâță aurie
Ce se mândrește-n mers ca o panteră
Ca să vâneze șoareci de hârtie
Și zugrăviți, viței de dromaderă...",4
Tudor Arghezi,Cameleoana,3,"Sufletul tău e-un astru în exil
Și ca să dea o veșnică lumină
Are nevoie, zilnic, de fitil
Și de alcool, petroliu sau benzină.",4
Tudor Arghezi,Cameleoana,4,"Sufletul tău e un florinte
Ce sare prin copaci cu bucurie
Și vrând să caute nu-și aduce aminte
Cum își începe vechea melodie.",4
Tudor Arghezi,Cameleoana,5,"Sufletul tău e-un iepure rănit
Întors acasă noaptea din cărare
Se crede om și caută uimit
Lipsa cheilor din buzunare.",4
Tudor Arghezi,Cameleoana,6,"Sufletul tău e o madonă
Care lăptează rumen, plin, la țâțe
Un Christ strein de Biblia slavonă
Cu mâini de ghips, cu carne de tărâțe.",4
Tudor Arghezi,Cameleoana,7,"Sufletul tău e-un parc cu o intrare
Unde mereu se-ascunseră sub brazi
Îndrăgostiții toți și-n care
Se mai preumblă-mbrățișați și azi.",4
Tudor Arghezi,Canină,1,"De-aseară latră, latră, latră,
E miezul nopții, multe stele
Au ostenit în cer și ele
Și s-au întors în cuib, la vatră.
Nenumărat mi-a fost drumețul
Care-a pierdut, nenumărate,
Pornirile-mi înverșunate
Să sfarm cu cîinele cotețul.",8
Tudor Arghezi,Canină,2,"El însă nu s-a ostenit.
E noapte neagră ca-ntr-o turlă.
Ceasu-i de urlet potrivit.
Și cîinele-a urlat și urlă.",4
Tudor Arghezi,Canină,3,"El o să latre pînă-n zori ...
Adio gînduri și luare-aminte !
Cățeii-au dreptul și-s datori
Să latre și de-aci-nainte.",4
Tudor Arghezi,Canină,4,Era un cățeluș cuminte ...,1
Tudor Arghezi,Cântec de adormit mitzura,1,"Doamne, fă-i bordei în soare,
Într-un colț de țară veche,
Nu mai nalt decât o floare
Și îngust cât o ureche.",4
Tudor Arghezi,Cântec de adormit mitzura,2,"Și-n pridvor, un ochi de apă
Cu o luntre cât chibritul,
Ca-n crâmpeiul ei să-ncapă
Cerul tău și nesfârșitul.",4
Tudor Arghezi,Cântec de adormit mitzura,3,"Dă-i un fluture blajin
Și o broască de smarald
Și-n pădurea de pelin
Fă să-i stea bordeiul cald.",4
Tudor Arghezi,Cântec de adormit mitzura,4,"Și mai dă-i, Doamne, vopsele
Și hârtie chinezească,
Pentru ca, mânjind cu ele,
Slava ta s-o smângălească.",4
Tudor Arghezi,Cântec de adormit mitzura,5,"Și când totul va fi gata
S-o muta la ea și tata.",2
Tudor Arghezi,Cântec mut,1,"La patul vecinului meu
A venit az-noapte Dumnezeu,
Cu toiag, cu îngeri și sfinți,
Erau așa de fierbinți,
Că se făcuse în spital
Cald ca subt un șal.",6
Tudor Arghezi,Cântec mut,2,"Ei au cântat din buciume și strune,
Câte o rugăciune,
Și au binecuvântat
Lângă doftori și lângă pat.",4
Tudor Arghezi,Cântec mut,3,"Doi îngeri au adus o carte
Cu copcile sparte,
Doi o icoană,
Doi o cârjă, doi o coroană.
Diaconii-n stihare
Veneau de sus, din depărtare,
Cădind pe călcâie
Cu fum de smirnă și tămâie.",8
Tudor Arghezi,Cântec mut,4,"Lumânări de ceară
Se încrucișară.
Scara din cereasca-mpărăție
Scobora în infirmerie,
Pe trepte de cleștar,
Peste patul lui de tâlhar.
Cei de față vorbeau pe dește
Cu el, și bisericește.
În tindă,
Creșteau plopi de oglindă
Și o lună cât o cobză de argint.
L-am auzit șoptind.
Și toată noaptea a vorbit cu ei
Și cu icoana Dumneaei
A de-a pururea Fecioare,
De Dumnezeu Născătoare.",16
Tudor Arghezi,Cântec mut,5,"- ""Lăsați-l: nu poate să v-asculte.
Nu vedeți? Azi are vizite multe,
Domnule grefier"".
Zăbrelele s-au îndopat cu faguri de cer
Și atârnau candele de stele
Printre ele.
Ferestrele închise
S-au acoperit cu ripide și antimise,
Și odaia cu mucegai
A mirosit toată noaptea a rai.",10
Tudor Arghezi,Cântec mut,6,"L-am găsit
Zgârcit.
El stă acum în pat.
Unde-i sufletul lui? Nu știu. A plecat.",4
Tudor Arghezi,Cantilenă,1,"Trăindu-și zilele și anii,
Pier prietenii, pe rînd, ca și dușmanii,
La fel, și legea ta nu cruță.
I-ai încărcat de-a valma-ntr-o căruță
Cu calul orb, bolnavi de boala vieții
Și proștii și isteții.",6
Tudor Arghezi,Cantilenă,2,"Le-ai dat și-un gust de grea eternitate
Că-au fost ori buni, ori negri de păcate.
La fel, totuna ți-e, și viața și neviața.",3
