autor,titlu,strofa,text
Tudor Arghezi,1943,1,"Pe cînd dormeați un somn zăcut de ani,
Un om a prăvălit o stîncă,
Namiaza mare-n gloata de dușmani,
De vuietul se mai aude încă."
Tudor Arghezi,1943,2,"Pribeag și-apoi și călător în noapte,
Nu strigă, nu se bate-n piept, nu cere.
Dar voi, flămînzi de slavă fără fapte,
Isprava lui știută o treceți sub tăcere."
Tudor Arghezi,84,1,"Cu opaiț și cu lună,
Ne-am scris nopțile-mpreună.
Și la rău, ca și la bine,
Nu prea m-am uitat la mine,
Ascultînd numai povața :
Omul să-și muncească viața.
Mi-am muncit-o - și atît -
Ca să-mi treacă de urît."
Tudor Arghezi,Abece,1,"A vrut Dumnezeu să scrie
Și nici nu era hârtie.
N-avea niciun fel de scule
Și nici litere destule.
C-un crâmpei de alfabet
Mergea scrisul foarte-ncet."
Tudor Arghezi,Abece,2,"Știe-atât: numai să facă.
Ia oleacă, pune-oleacă.
Face oameni și lumină
Din puțin scuipat cu tină
Și dintr-un aluat mai lung
Scoate luna ca din strung."
Tudor Arghezi,Abece,3,"A-ntins cerul ca o coală
În toata Tăria goală.
Insă pana nu scria.
A luat atunci o nuia
Și a însemnat cu ea,
Cu argint, stea lângă stea.
Și ca să vadă pe schele,
A făcut și cruci de stele."
Tudor Arghezi,Adam și eva,1,"Urîndu-i-se singur în stihii,
A vrut și Dumnezeu să aibă-n cer copii
Și s-a gîndit din ce să-i facă,
Din borangic,argint sau promoroacă,
Frumoși, cinstiți, nevinovați,
Și puse-așezămîntul dintre frați."
Tudor Arghezi,Adam și eva,2,"Dar i-a ieșit cam somnoros și cam
Trîndav și nărăvaș strămoșul meu Adam ;
Că l-a făcut, cum am aflat,
Cu praf și nițeluș scuipat ;
Ca să încerce dacă un altoi
De stea putea să prindă pe noroi,
Că, de urît, scuipind în patru zări, stingher
Făcuse și luminile din cer."
Tudor Arghezi,Adam și eva,3,"Dar iată că l-a nimerit,
Din pricina aluatului, greșit,
Și că Adam, întîiul fiu
Al Domnului, ieșise, parcă, și zbanghiu.
Nu-i vorba, nici-o poză nu ne-nvață
Cum ar fi fost omul dintîi la față.
Nici unda lacului nu l-a păstrat,
În care se-oglindea la scăpătat."
Tudor Arghezi,Adam și eva,4,"Puterea lui dumnezeiască,
Dormind mereu, căta să-l mai trezească ;
I-a rupt un os din coaste, ceva,
Și-a zămislit-o și pe Eva."
