autor,titlu,text
Mihai Eminescu,Singurătate,"Cu perdelele lăsate,
Șed la masa mea de brad,
Focul pâlpâie în sobă,
Iară eu pe gânduri cad.

Stoluri, stoluri trec prin minte
Dulci iluzii. Amintiri
Țârâiesc încet ca greeri
Pintre negre, vechi zidiri,

Sau cad grele, mângâioase
Și se sfarmă-n suflet trist,
Cum în picuri cade ceara
La picioarele lui Crist.

În odaie prin unghere
S-a țesut păinjeniș
Și prin cărțile în vravuri
Umblă șoarecii furiș.

În această dulce pace
Îmi ridic privirea-n pod
Și ascult cum învelișul
De la cărți ei mi le rod.

Ah! de câte ori voit-am
Ca să spânzur lira-n cui
Și un capăt poeziei
Și pustiului să pui!

Dar atuncea, greeri, șoareci,
Cu ușor-măruntul mers,
Readuc melancolia-mi,
Iară ea se face vers.

Câteodată... prea arare...
A târziu când arde lampa,
Inima din loc îmi sare
Când aud că sună cleampa...

Este Ea. Deșarta casă
Dintr-o dată-mi pare plină,
În privazul negru-al vieții-mi
E-o icoană de lumină.

Și mi-i ciudă cum de vremea
Să mai treacă se îndură,
Când eu stau șoptind cu draga
Mână-n mână, gură-n gură."
Mihai Eminescu,Lasă-ți lumea ta uitată,"Lasă-ți lumea ta uitată,
Mi te dă cu totul mie,
De ți-ai da viața toată,
Nime-n lume nu ne știe.

Vin' cu mine, rătăcește
Pe cărări cu cotituri,
Unde noaptea se trezește
Glasul vechilor păduri.

Printre crengi scânteie stele,
Farmec dând cărării strâmte,
Și afară doar de ele
Nime-n lume nu ne simte.

Părul tău ți se desprinde
Și frumos ți se mai șede,
Nu zi ba de te-oi cuprinde,
Nime-n lume nu ne vede.

Tânguiosul bucium sună,
L-ascultăm cu-atâta drag,
Pe când iese dulcea lună
Dintr-o rariște de fag.

Îi răspunde codrul verde
Fermecat și dureros,
Iară sufletu-mi se pierde
După chipul tău frumos.

Te desfaci c-o dulce silă,
Mai nu vrei și mai te lași,
Ochii tăi sunt plini de milă,
Chip de înger drăgălaș.

Iată lacul. Luna plină,
Poleindu-l, îl străbate;
El, aprins de-a ei lumină,
Simte-a lui singurătate.

Tremurând cu unde-n spume,
Între trestie le farmă
Și visând o-ntreagă lume
Tot nu poate să adoarmă.

De-al tău chip el se pătrunde
Ca oglinda îl alege -
Ce privești zâmbind în unde?
Ești frumoasă, se-nțelege.

Înălțimile albastre
Pleacă zarea lor pe dealuri,
Arătând privirii noastre
Stele-n ceruri, stele-n valuri.

E-un miros de tei în crânguri,
Dulce-i umbra de răchiți,
Și suntem atât de singuri
Și atât de fericiți!

Numai luna printre ceață
Varsă apelor văpaie,
Și te află strânsă-n brațe,
Dulce dragoste bălaie."
Mihai Eminescu,Și dacă...,"Și dacă ramuri bat în geam
Și se cutremur plopii,
E ca în minte să te am
Și-ncet să te apropii.

Și dacă stele bat în lac
Adâncu-i luminându-l,
E ca durerea mea s-o-mpac
Înseninându-mi gândul.

Și dacă norii deși se duc
De iese-n luciu luna,
E ca aminte să-mi aduc
De tine-ntotdeauna."
Mihai Eminescu,Pajul cupidon...,"Pajul Cupidon, vicleanul,
Mult e rău și alintat,
Cu copii se hârjonește,
Iar la dame doarme-n pat.

De lumină ca tâlharii
Se ferește binișor,
Pe ferești se suie noaptea
Dibuind încetișor;

Cordeluțe și nimicuri,
Iată toate-a lui averi...
Darnic când nu vrei nici una
Și zgârcit dacă le ceri.

În volumul ros de molii
Cauți noaptea adevăr
Și-ntâlnești lipită-n file
Vița-i galbănă de păr.

El dă gânduri nențelese
Vrâstei crude și necoapte,
Cu icoane luminoase
O îngână-ntreaga noapte.

Când de-o sete sufletească
E cuprinsă fata mică -
A dormit cu ea alături
Ca doi pui de turturică.

E sfios ca și copiii,
Dar zâmbirea-i e vicleană;
Dară galeși îi sunt ochii
Ca și ochii de vădană.

Gât și umere frumoase,
Sânuri albe și rotunde
El le ține-mbrățișate
Și cu mânile le-ascunde.

De te rogi frumos de dânsul,
Îndestul e de hain
Vălul alb de peste toate
Să-l înlăture puțin."
Mihai Eminescu,Ce te legeni...,"- ""Ce te legeni, codrule,
Fără ploaie, fără vânt,
Cu crengile la pământ?""
- ""De ce nu m-aș legăna,
Dacă trece vremea mea!
Ziua scade, noaptea crește
Și frunzișul mi-l rărește.
Bate vântul frunza-n dungă -
Cântăreții mi-i alungă;
Bate vântul dintr-o parte -
Iarna-i ici, vara-i departe.
Și de ce să nu mă plec,
Dacă păsările trec!
Peste vârf de rămurele
Trec în stoluri rândunele,
Ducând gândurile mele
Și norocul meu cu ele.
Și se duc pe rând pe rând,
Zarea lumii-ntunecând,
Și se duc ca clipele,
Scuturând aripele,
Și mă lasă pustiit,
Vestejit și amorțit
Și cu doru-mi singurel,
De mă-ngân numai cu el!"""
Mihai Eminescu,Melancolie,"Părea că printre nouri s-a fost deschis o poartă,
Prin care trece albă regina nopții moartă. -
O, dormi, o, dormi în pace printre făclii o mie
Și în mormânt albastru și-n pânze argintie,
În mausoleu-ți mândru, al cerurilor arc,
Tu adorat și dulce al nopților monarc!
Bogată în întinderi stă lumea-n promoroacă,
Ce sate și câmpie c-un luciu văl îmbracă;
Văzduhul scânteiază și ca unse cu var
Lucesc zidiri, ruine pe câmpul solitar.
Și țintirimul singur cu strâmbe cruci veghează,
O cucuvaie sură pe una se așează,
Clopotnița trosnește, în stâlpi izbește toaca,
Și străveziul demon prin aer când să treacă,
Atinge-ncet arama cu zimții-aripei sale
De-auzi din ea un vaier, un aiurit de jale.
Biserica-n ruină
Stă cuvioasă, tristă, pustie și bătrână,
Și prin fereste sparte, prin uși țiuie vântul -
Se pare că vrăjește și că-i auzi cuvântul -
Năuntrul ei pe stâlpii-i, păreți, iconostas,
Abia conture triste și umbre au rămas;
Drept preot toarce-un greier un gând fin și obscur,
Drept dascăl toacă cariul sub învechitul mur.

Credința zugrăvește icoanele-n biserici -
Și-n sufletu-mi pusese poveștile-i feerici,
Dar de-ale vieții valuri, de al furtunii pas
Abia conture triste și umbre-au mai rămas.
În van mai caut lumea-mi în obositul creier,
Căci răgușit, tomnatec, vrăjește trist un greier;
Pe inima-mi pustie zadarnic mâna-mi țiu,
Ea bate ca și cariul încet într-un sicriu.
Și când gândesc la viața-mi, îmi pare că ea cură
Încet repovestită de o străină gură,
Ca și când n-ar fi viața-mi, ca și când n-aș fi fost.
Cine-i acel ce-mi spune povestea pe de rost
De-mi țin la el urechea - și râd de câte-ascult
Ca de dureri străine?... Parc-am murit de mult."
Mihai Eminescu,Rugăciunea unui dac,"Pe când nu era moarte, nimic nemuritor,
Nici sâmburul luminii de viață dătător,
Nu era azi, nici mâne, nici ieri, nici totdeuna,
Căci unul erau toate și totul era una;
Pe când pământul, cerul, văzduhul, lumea toată
Erau din rândul celor ce n-au fost niciodată,
Pe-atunci erai Tu singur, încât mă-ntreb în sine-mi:
Au cine-i zeul cărui plecăm a noastre inemi?

El singur zeu stătut-au nainte de-a fi zeii
Și din noian de ape puteri au dat scânteii,
El zeilor dă suflet și lumii fericire,
El este-al omenimei isvor de mântuire:
Sus inimile voastre! Cântare aduceți-i,
El este moartea morții și învierea vieții!

Și el îmi dete ochii să văd lumina zilei,
Și inima-mi împlut-au cu farmecele milei,
În vuietul de vânturi auzit-am a lui mers
Și-n glas purtat de cântec simții duiosu-i viers,
Și tot pe lâng-acestea cerșesc înc-un adaos:
Să-ngăduie intrarea-mi în vecinicul repaos!

Să blesteme pe-oricine de mine-o avea milă,
Să binecuvânteze pe cel ce mă împilă,
S-asculte orice gură, ce-ar vrea ca să mă râdă,
Puteri să puie-n brațul ce-ar sta să mă ucidă,
Ș-acela dintre oameni devină cel întâi
Ce mi-a răpi chiar piatra ce-oi pune-o căpătâi.

Gonit de toată lumea prin anii mei să trec,
Pân' ce-oi simți că ochiu-mi de lacrime e sec,
Că-n orice om din lume un dușman mi se naște,
C-ajung pe mine însumi a nu mă mai cunoaște,
Că chinul și durerea simțirea-mi a-mpietrit-o,
Că pot să-mi blestem mama, pe care am iubit-o -
Când ura cea mai crudă mi s-a părea amor...
Poate-oi uita durerea-mi și voi putea sa mor.

Străin și făr' de lege de voi muri - atunce
Nevrednicu-mi cadavru în uliță l-arunce,
Ș-aceluia, Părinte, să-i dai coroană scumpă,
Ce-o să amuțe cânii, ca inima-mi s-o rumpă,
Iar celui ce cu pietre mă va izbi în față,
Îndură-te, stăpâne, și dă-i pe veci viață!

Astfel numai, Părinte, eu pot să-ți mulțumesc
Că tu mi-ai dat în lume norocul să trăiesc.
Să cer a tale daruri, genunchi și frunte nu plec,
Spre ură și blestemuri aș vrea să te înduplec,
Să simt că de suflarea-ți suflarea mea se curmă
Și-n stingerea eternă dispar fără de urmă!"
Mihai Eminescu,Pe aceeași ulicioară...,"Pe aceeași ulicioară
Bate luna la ferești,
Numai tu de după gratii
Vecinic nu te mai ivești!

Și aceiași pomi în floare
Crengi întind peste zaplaz,
Numai zilele trecute
Nu le fac să fie azi.

Altul este al tău suflet,
Alții ochii tăi acum,
Numai eu, rămas același,
Bat mereu același drum.

Ah, subțire și gingașă
Tu pășeai încet, încet,
Dulce îmi veneai în umbra
Tăinuitului boschet

Și lăsându-te la pieptu-mi,
Nu știam ce-i pe pământ,
Ne spuneam atât de multe
Făr-a zice un cuvânt.

Sărutări erau răspunsul
La-ntrebări îndeosebi,
Și de alte cele-n lume
N-aveai vreme să întrebi.

Și în farmecul vieții-mi
Nu știam că-i tot aceea
De te razimi de o umbră
Sau de crezi ce-a zis femeia.

Vântul tremură-n perdele
Astăzi ca și alte dăți,
Numai tu de după ele
Vecinic nu te mai arăți!"
Mihai Eminescu,"De câte ori, iubito...","De câte ori, iubito, de noi mi-aduc aminte,
Oceanul cel de gheață mi-apare înainte:
Pe bolta alburie o stea nu se arată,
Departe doară luna cea galbenă - o pată;
Iar peste mii de sloiuri de valuri repezite
O pasăre plutește cu aripi ostenite,
Pe când a ei pereche nainte tot s-a dus
C-un pâlc întreg de pasări, pierzându-se-n apus.
Aruncă pe-a ei urmă priviri suferitoare,
Nici rău nu-i pare-acuma, nici bine nu... ea moare,
Visându-se-ntr-o clipă cu anii înapoi.

Suntem tot mai departe deolaltă amândoi,
Din ce în ce mai singur mă-ntunec și îngheț,
Când tu te pierzi în zarea eternei dimineți."
Mihai Eminescu,"O, rămâi...","""O, rămâi, rămâi la mine -
Te iubesc atât de mult!
Ale tale doruri toate
Numai eu știu să le-ascult;

În al umbrei întuneric
Te asamăn unui prinț,
Ce se uit-adânc în ape
Cu ochi negri și cuminți;

Și prin vuietul de valuri,
Prin mișcarea naltei ierbi,
Eu te fac s-auzi în taină
Mersul cârdului de cerbi:

Eu te văd răpit de farmec
Cum îngâni cu glas domol,
În a apei strălucire
Întinzând piciorul gol

Și privind în luna plină
La văpaia de pe lacuri,
Anii tăi se par ca clipe,
Clipe dulci se par ca veacuri.""

Astfel zise lin pădurea,
Bolți asupră-mi clătinând -
Șuieram l-a ei chemare
Ș-am ieșit în câmp râzând.

Astăzi chiar de m-aș întoarce
A-nțelege n-o mai pot...
Unde ești, copilărie,
Cu pădurea ta cu tot?"
Mihai Eminescu,Despărțire,"Să cer un semn, iubito, spre-a nu te mai uita?
Te-aș cere doar pe tine, dar nu mai ești a ta;
Nu floarea vestejită din părul tău bălai,
Căci singura mea rugă-i uitării să mă dai.

La ce simțirea crudă a stinsului noroc
Să nu se sting-asemeni, ci-n veci să stea pe loc?
Tot alte unde-i sună aceluiași pârău:
La ce statornicia părerilor de rău,
Când prin această lume să trecem ne e scris
Ca visul unei umbre și umbra unui vis?
La ce de-acu nainte tu grija mea s-o porți?
La ce să măsuri anii ce zboară peste morți?
Totuna-i dacă astăzi sau mâne o să mor,
Când voi să-mi piară urma în mintea tuturor,
Când voi să uiți norocul visat de amândoi.
Trezindu-te, iubito, cu anii înapoi,
Să fie neagră umbra în care-oi fi pierit,
Ca și când niciodată noi nu ne-am fi găsit,
Ca și când anii mândri de dor ar fi deșerți -
Că te-am iubit atâta putea-vei tu să ierți?
Cu fața spre părete, mă lasă prin străini,
Să-nghețe sub pleoape a ochilor lumini,
Și când se va întoarce pământul în pământ,
Au cine o să știe de unde-s, cine sunt?
Cântări tânguitoare prin zidurile reci
Cerși-vor pentru mine repaosul de veci;
Ci eu aș vrea ca unul, venind de mine-aproape,
Să-mi spui al tău nume pe-nchisele-mi pleoape,
Apoi - de vor - m-arunce în margine de drum...
Tot îmi va fi mai bine ca-n ceasul de acum.
Din zare depărtată răsar-un stol de corbi,
Să-ntunece tot cerul pe ochii mei cei orbi,
Răsar-o vijelie din margini de pământ,
Dând pulberea-mi țărânii și inima-mi la vânt...

Ci tu rămâi în floare ca luna lui April,
Cu ochii mari și umezi, cu zâmbet de copil,
Din cât ești de copilă să-ntinerești mereu,
Și nu mai ști de mine, că nu m-oi ști nici eu."
Mihai Eminescu,Crăiasa din povești,"Neguri albe, strălucite
Naște luna argintie,
Ea le scoate peste ape,
Le întinde pe câmpie;

S-adun flori în șezătoare
De painjen tort să rumpă,
Și anină-n haina nopții
Boabe mari de piatră scumpă.

Lângă lac, pe care norii
Au urzit o umbră fină,
Ruptă de mișcări de valuri
Ca de bulgări de lumină,

Dându-și trestia-ntr-o parte,
Stă copila lin plecată,
Trandafiri aruncă roșii
Peste unda fermecată.

Ca să vad-un chip, se uită
Cum aleargă apa-n cercuri,
Căci vrăjit de mult e lacul
De-un cuvânt al Sfintei Miercuri;

Ca să iasă chipu-n față,
Trandafiri aruncă tineri,
Căci vrăjiți sunt trandafirii
De-un cuvânt al Sfintei Vineri.

Ea se uită... Păru-i galben,
Fața ei lucesc în lună,
Iar în ochii ei albaștri
Toate basmele s-adună."
Mihai Eminescu,Odă,"Nu credeam să învăț a muri vrodată;
Pururi tânăr, înfășurat în manta-mi,
Ochii mei nălțam visător la steaua
Singurătății.

Când deodată tu răsăriși în cale-mi,
Suferință tu, dureros de dulce...
Pân-în fund băui voluptatea morții
Nendurătoare.

Jalnic ard de viu chinuit ca Nessus,
Ori ca Hercul înveninat de haina-i;
Focul meu a-l stinge nu pot cu toate
Apele mării.

De-al meu propriu vis, mistuit mă vaiet,
Pe-al meu propriu rug, mă topesc în flacări...
Pot să mai renviu luminos din el ca
Pasărea Phoenix?

Piară-mi ochii turburători din cale,
Vino iar în sân, nepăsare tristă;
Ca să pot muri liniștit, pe mine
Mie redă-mă!"
Mihai Eminescu,La mijloc de codru des,"La mijloc de codru des
Toate păsările ies,
Din huceag de aluniș
La voiosul luminiș,
Luminiș de lângă baltă,
Care-n trestia înaltă
Legănându-se din unde,
În adâncu-i se pătrunde
Și de lună și de soare
Și de păsări călătoare,
Și de lună și de stele
Și de zbor de rândunele
Și de chipul dragei mele."
Mihai Eminescu,Venere și madonă,"Ideal pierdut în noaptea unei lumi ce nu mai este,
Lume ce gândea în basme și vorbea în poezii,
O! te văd, te-aud, te cuget, tânără și dulce veste
Dintr-un cer cu alte stele, cu-alte raiuri, cu alți zei.

Venere, marmură caldă, ochi de piatră ce scânteie,
Braț molatic ca gândirea unui împărat poet,
Tu ai fost divinizarea frumuseții de femeie,
A femeiei, ce și astăzi tot frumoasă o revăd.

Rafael, pierdut în visuri ca-ntr-o noapte înstelată,
Sufletu-mbătat de raze și d-eterne primăveri,
Te-a văzut și-a visat raiul cu grădini îmbălsămate,
Te-a văzut plutind regină pintre îngerii din cer

Și-a creat pe pânza goală pe Madona Dumnezeie,
Cu diademă de stele, cu surâsul blând, vergin,
Fața pală-n raze blonde, chip de înger, dar femeie,
Căci femeia-i prototipul îngerilor din senin.

Astfel eu, pierdut în noaptea unei vieți de poezie,
Te-am văzut, femeie stearpă, fără suflet, fără foc,
Și-am făcut din tine-un înger, blând ca ziua de magie,
Când în viața pustiită râde-o rază de noroc.

Am văzut fața ta pală de o bolnavă beție,
Buza ta învinețită de-al corupției mușcat,
Ș-am zvârlit asupră-ți, crudo, vălul alb de poezie
Și paloarei tale raza inocenței eu i-am dat.

Ți-am dat palidele raze ce-nconjoară cu magie
Fruntea îngerului-geniu, îngerului-ideal,
Din demon făcui o sântă, dintr-un chicot, simfonie,
Din ochirile-ți murdare, ochiu-aurorei matinal.

Dar azi vălul cade, crudo! dismețit din visuri sece,
Fruntea mea este trezită de al buzei tale-ngheț.
Și privesc la tine, demon, și amoru-mi stins și rece,
Mă învață cum asupră-ți eu să caut cu dispreț!

Tu îmi pari ca o bacantă, ce-a luat cu-nșelăciune
De pe-o frunte de fecioară mirtul verde de martir,
O fecioar-a cărei suflet era sânt ca rugăciunea,
Pe când inima bacantei e spasmodic, lung delir.

O, cum Rafael creat-a pe Madona Dumnezeie,
Cu diadema-i de stele, cu surâsul blând, vergin,
Eu făcut-am zeitate dintr-o palidă femeie,
Cu inima stearpă, rece și cu suflet de venin!

Plângi, copilă? - C-o privire umedă și rugătoare
Poți din nou zdrobi și frânge apostat-inima mea?
La picioare-ți cad și-ți caut în ochi negri-adânci ca marea,
Și sărut a tale mâne, și-i întreb de poți ierta.

Șterge-ți ochii, nu mai plânge!... A fost crudă-nvinuirea,
A fost crudă și nedreaptă, fără razim, fără fond.
Suflete! de-ai fi chiar demon, tu ești sântă prin iubire,
Și ador pe acest demon cu ochi mari, cu părul blond."
Mihai Eminescu,Sonet,"Iubind în taină am păstrat tăcere,
Gândind că astfel o să-ți placă ție,
Căci în priviri citeam o vecinicie
De-ucigătoare visuri de plăcere.

Dar nu mai pot. A dorului tărie
Cuvinte dă duioaselor mistere;
Vreau să mă-nec de dulcea-nvăpăiere
A celui suflet ce pe al meu știe.

Nu vezi că gura-mi arsă e de sete
Și-n ochii mei se vede-n friguri chinu-mi,
Copila mea cu lungi și blonde plete?

Cu o suflare răcorești suspinu-mi,
C-un zâmbet faci gândirea-mi să se-mbete.
Fă un sfârșit durerii - vin' la sânu-mi."
Mihai Eminescu,Dorința,"Vino-n codru la isvorul
Care tremură pe prund,
Unde prispa cea de brazde
Crengi plecate o ascund.

Și în brațele-mi întinse
Să alergi, pe piept să-mi cazi,
Să-ți desprind din creștet vălul,
Să-l ridic de pe obraz.

Pe genunchii mei ședea-vei,
Vom fi singuri-singurei,
Iar în păr, înfiorate,
O să-ți cadă flori de tei.

Fruntea albă-n părul galben
Pe-al meu braț încet s-o culci,
Lăsând pradă gurii mele
Ale tale buze dulci...

Vom visa un vis ferice,
Îngâna-ne-vor c-un cânt
Singuratece izvoare,
Blânda batere de vânt;

Adormind de armonia
Codrului bătut de gânduri,
Flori de tei deasupra noastră
Or să cadă rânduri-rânduri."
